ACISCVLVS,
ADLOCVT AVG S C,
ADLOCVTIO S C,
ADOPTIO TRIBVNIC POTEST,
ADVENTVI AVG AFRICAE,
ADVENTVI AVG AFRICAE S C,
ADVENTVI AVG ALEXANDRIAE,
ADVENTVI AVG ALEXANDRIAE S C,
ADVENTVI AVG ARABIAE S C,
ADVENTVI AVG ASIAE S C,
ADVENTVI AVG BITHYNIAE S C,
ADVENTVI AVG BRITANNIAE S C,
ADVENTVI AVG CILICIAE S C,
ADVENTVI AVG GALLIAE S C,
ADVENTVI AVG HISPANIAE,
ADVENTVI AVG HISPANIAE S C,
ADVENTVI AVG ITALIAE,
ADVENTVI AVG ITALIAE S C,
ADVENTVI AVG IVDAEAE S C,
ADVENTVI AVG MACEDONIAE S C,
ADVENTVI AVG MAVRETANIAE S C,
ADVENTVI AVG MOESIA S C,
ADVENTVI AVG NORICI S C,
ADVENTVI AVG PHRYGIAE S C,
ADVENTVI AVG SICILIAE S C,
ADVENTVI AVG THRACIAE S C,
ADVENTVS AVG S C,
ADVENTVS AVGVSTI,
ADVENTVS AVGVSTI S C,
AEGYPTOS,
AEGYPTOS S C,
AELIANA PINCENSIA,
AELIVS CAESAR,
AEQVITAS AVG S C,
AEQVITAS AVGVST,
AEQVITAS AVGVST S C,
AETERNITAS AVG S C,
AETERNITAS AVGVSTI S C,
AFRICA,
AFRICA S C,
AGRIPPINA M F GERMANICI CAESARIS,
ALEXANDRIA,
ALEXANDRIA S C,
ANCVS,
ANN DCCCLXXIIII NAT VRB CIR CON S C,
ANN DCCCLXXIIII NAT VRB P CIR CON,
ANNONA AVG,
ANNONA AVG S C,
ANNONA AVGVST S C,
ANNONA AVGVSTI S C,
ARMENIA ET MESOPOTAMIA IN POTESTATEM P R REDACTAE S C,
ASIA,
AVG GER DAC PAR P M TR P COS ITERO S P Q R,
AVG GER DAC PARTHICI P M TR P COS VI P P,
AVG P M TR P COS II,
AVGVST HADRIANVS P P,
AVGVSTI PROFECTIO,
AVGVSTVS COS XI,
AVGVSTVS HADRIANVS,
BASILICA VLPIA,
BON EVENT LIBO,
BRITANNIA S C,
