I O M S P Q R V S PR S IMP CAE QVOD PER EV R P IN AMP AT Q TRAV S E,jovi optimo maximo senatvs popvlvs+qve romanvs vota svscepta pro salvte imperatoris caesaris qvod per evm res pvblica in ampliore atqve tranqvilliore statv est
IMP AVGVST TR POT,imperator avgvstvs tribvnicia potestate
IMP CAESAR AVGVS TR POT IIX,imperator caesar avgvstvs tribvnicia potestate Ⅷ
IMP CAESAR AVGVS TR POT VIII,imperator caesar avgvstvs tribvnicia potestate Ⅷ
IMP CAESAR AVGVSTV,imperator caesar avgvstvs
IMP CAESAR AVGVSTVS,imperator caesar avgvstvs
IMP CAESAR DIVI F,imperator caesar divi filivs
IMP CAESAR DIVI F AVGVST COS VII,imperator caesar divi filivs avgvstvs consvl Ⅶ
IMP CAESAR DIVI F AVGVSTVS IMP XX,imperator caesar divi filivs avgvstvs imperator ⅩⅩ
IMP CAESAR DIVI F COS VI LIBERTATIS P R VINDEX,
IMP CAESAR TR POT IIX,imperator caesar tribvnicia potestate Ⅷ
IMP CAESARI SCARPVS IMP,imperatori caesari scarpvs imperator
IMP DIVI F P P,imperator divi filivs pater patriae
IMP IX TR PO IV,imperator Ⅸ tribvnicia potestate Ⅳ
IMP IX TR PO V,imperator Ⅸ tribvnicia potestate Ⅴ
IMP X ACT,imperator Ⅹ activm
IMP X SICIL,imperator Ⅹ sicilia
IMP XI,imperator ⅩⅠ
IMP XI SICIL,imperator ⅩⅠ sicilia
IMP XII ACT,imperator ⅩⅡ activm
IMP XII SICIL,imperator ⅩⅡ sicilia
IMP XII SICILI,imperator ⅩⅡ sicilia
IMP XV SICIL,imperator ⅩⅤ sicilia
IOV TON,iovis tonantis
IOVI VOT SVSC PRO SAL CAES AVG S P Q R,jovi votis svsceptis pro salvte caesaris avgvsti senatvs popvlvs+qve romanvs
IOVIS TON,iovis tonantis
IOVIS TONANT,iovis tonantis
IOVIS TONANTIS,iovis tonantis
L AQVILLIVS FLORVS III VIR,lvcivs aqvillivs florvs trivmvir
L AQVILLIVS FLORVS III VIR SICIL,
L CANINIVS GALLVS IIIVIR AVGVSTVS TR POT,lvcivs caninivs gallvs trivmvir avgvstvs tribvnicia potestate
L CANINIVS GALLVS OB C S,lvcivs caninivs gallvs ob cives servatos
L LENTVLVS FLAMEN MARTIALIS,lvcivs lentvlvs flamen martialis
L MESCINIVS AVG SVF P,
L MESCINIVS RVFVS,lvcivs mescinivs rvfvs
L MESCINIVS RVFVS IIIVIR,lvcivs mescinivs rvfvs trivmvir
L MESCINIVS RVFVS IIIVIR S C,lvcivs mescinivs rvfvs trivmvir senatvs consvlto
L MESCINIVS RVFVS IIIVIR XV SF,lvcivs mescinivs rvfvs trivmvir ⅩⅤ saecvli felicitas
L NAEVIVS SVRDINVS IIIVIR A A A F F,lvcivs naevivs svrdinvs trivmvir aere avro argento flando ferivndo
L SVRDINVS IIIVIR A A A F F,lvcivs svrdinvs trivmvir aere avro argento flando ferivndo
L VALERIVS CATVLLVS,lvcivs valerivs catvllvs
L VINICIVS,lvcivs vinicivs
L VINICIVS L F IIIVIR,lvcivs vinicivs lvcii filivs trivmvir
LAMIA SILIVS ANNIVS,lamia silivs annivs
M AGRIPPA COS TER COSSVS LENTVLVS,marcvs agrippa consvl tertivs cossvs lentvlvs
M AGRIPPA PLATORINVS IIIVIR,marcvs agrippa platorinvs trivmvir
M DVRMIVS III VIR HONORI,marcvs dvrmivs trivmvir honori
M DVRMIVS IIIVIR HONORI,marcvs dvrmivs trivmvir honori
M MAECILIVS TVLLVS IIIVIR A A A F F,marcvs maecilivs tvllvs trivmvir aere avro argento flando ferivndo
M SALVIVS OTHO IIIVIR A A A F F,marcvs salvivs otho trivmvir aere avro argento flando ferivndo
M SANQVINIVS IIIVIR,marcvs sanqvinivs trivmvir
M SANQVINIVS Q F IIIVIR A A A F F,marcvs sanqvinivs qvinti filivs trivmvir aere avro argento flando ferivndo
MAR VLT,martis vltoris
MART VLT,martis vltoris
MART VLTO,martis vltoris
MARTIS VLTORIS,martis vltoris
