IMP GORDIANVS PIVS FEL AVG,imperator gordianvs pivs felix avgvstvs
IMP CAESAR TRAIAN HADRIANVS AVG,imperator caesar traianvs hadrianvs avgvstvs
IMP M IVL PHILIPPVS AVG,imperator marcvs iulivs philippvs avgvstvs
D N VALENS_P F AVG,dominvs noster valens pivs felix avgvstvs
IMP C M AVR PROBVS AVG,imperator caesar marcvs avrelivs probvs avgvstvs
IMP C M AVR SEV ALEXAND AVG,imperator caesar marcvs avrelivs severvs alexander avgvstvs
IMP CAES M AVR SEV ALEXANDER AVG,imperator caesar marcvs avrelivs severvs alexander avgvstvs
IMP MAXIMIANVS P F AVG,imperator maximianvs pivs felix avgvstvs
IMP C P LIC GALLIENVS AVG,imperator caesar publivs licinivs gallienvs avgvstvs
D N MAGNEN_TIVS P F AVG,dominvs noster magnentivs pius felix avgvstvs
IMP CAES M ANT GORDIANVS AVG,imperator caesar marcvs antonivs avgvstvs
IMP C POSTVMVS P F AVG,imperator caesar postvmvs pivs felix avgvstvs
IMP C P LIC VALERIANVS AVG,imperator caesar publivs licinivs valerianvs avgvstvs
IMP CM OPEL SEV MACRINVS AVG,imperator caesar marcvs opellivs severvs macrinvs avgvstvs
IMP C P LIC VALERIANVS P F AVG,imperator caesar publivs licinivs valerianvs pivs felix avgvstvs
IMP C C VIB TREB GALLVS P F AVG,imperator caesar gaivs vibivs trebonianvs gallus pivs felix avgvstvs
S P Q R OPTIMO PRINCIPI,senatvs popvlvs+qve romanvs optimo principi
D N ARCADI_VS P F AVG,dominvs noster arcadivs pivs felix avgvstvs
IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P,imperatori caesari nervae traiano avgvsto germanico dacico pontifici maximo tribvnicia potestate consvli Ⅴ patri patriae
S P Q R OPTIMO PRINCIPI S C,senatvs popvlvs+qve romanvs optimo principi senatvs consvlto
IMP LICINIVS P F AVG,imperator licinivs pivs felix avgvstvs
D N ARCADIVS P F AVG,dominvs noster arcadivs pivs felix avgvstvs
IMP C CARAVSIVS P F AVG,imperator caesar caravsivs pivs felix avgvstvs
M COMMODVS ANTONINVS AVG,marcvs commodvs antoninvs avgvstvs
ORIENS AVG,oriens avgvsti
GLORIA _ REI _ PVBLICAE,gloria rei pvblicae
IMP DIOCLETIANVS AVG,imperator diocletianvs avgvstvs
IMP C P LIC GALLIENVS P F AVG,imperator caesar publivs licinivs gallienvs pivs felix avgvstvs
SALONINA AVG,salonina avgvsta
IMP C M AVR PROBVS P F AVG,imperator caesar marcvs avrelivs probvs pivs felix avgvstvs
CONSTAN_S P F AVG,constans pivs felix avgvstvs
