L CLODI MACRI LIBERATRIX S C,lvcii clodii macri liberatrix senatvs consvlto
L CLODI MACRI S C,lvcii clodii macri senatvs consvlto
L CLODI MACRI S C,lvcii clodii macri senatvs consvlto
L CLODIVS MACER S C,lvcivs clodivs macer senatvs consvlto
L MACRI S C,lvcii macri senatvs consvlto
LIB AVG LEG III,liberatrix avg
MESSALLINA AVGVSTA,messallina avgvsta
NERO CLAVD CAES DRVS GERM PRINC IVVENT,nero clavdivs caesar drvsvs germanicvs imperator princeps ivventvtis
NERO CLAVD CAES DRVSVS GERM PRINC IVVENT,nero clavdivs caesar drvsvs germanicvs imperator princeps ivventvtis
NERO CLAVD DRVSVS GERMANICVS IMP,nero clavdivs drvsvs germanicvs imperator
NERO CLAVDIVS DRVSVS GERMAN IMP,nero clavdivs drvsvs germanicvs imperator
NERO CLAVDIVS DRVSVS GERMAN IMP S C,nero clavdivs drvsvs germanicvs imperator senatvs consvlto
NERONI CLAVD CAES DRVSO GERM,neroni clavdio caesari drvso germanico
NERONI CLAVDIO DRVSO GERM COS DESIGN,neroni clavdio caesari drvso germanico consvli designato
NERONI CLAVDIO DRVSO GERMANICO COS DESIGN,neroni clavdio caesari drvso germanico consvli designato
PON M TR P IMP COS DES IT,pontifex maximvs tribvnicia potestate consvl designatvs itervm
PON M TR P IMP COS II,pontifex maximvs tribvnicia potestate imperator consvl Ⅱ
PON M TR P IMP P P COS II,pontifex maximvs tribvnicia potestate pater patriae imperator consvl Ⅱ
PONT MAX TR POT IMP,pontifex maximvs tribvnicia potestate imperator
PONT MAXI TR POT IMP,pontifex maximvs tribvnicia potestate imperator
TI CLAVDIVS CAESAR AVG P M TR P IMP P P  S C,tiberivs clavdivs caesar avgvstvs pontifex maximvs tribvnicia potestate imperator pater patriae senatvs consvlto
SICILIA,sicilia
