CAES AVG F COS DES IMP AVG F COS DESIG ITR S C,caesar avgvsti filivs designatvs imperator avgvsti filivs consvl designatvs itervm senatvs consvlto
CAES AVG F DES IMP AVG F COS DES IT S C,caesar avgvsti filivs designatvs imperator avgvsti filivs consvl designatvs itervm senatvs consvlto
CAES AVG F DES IMP AVG F COS DES ITE S C,caesar avgvsti filivs designatvs imperator avgvsti filivs consvl designatvs itervm senatvs consvlto
CAES AVG F DES IMP AVG F COS DES ITER S C,caesar avgvsti filivs designatvs imperator avgvsti filivs consvl designatvs itervm senatvs consvlto
CAES AVG F DESIG IMP AVG F COS DESIG ITE S C,caesar avgvsti filivs designatvs imperator avgvsti filivs consvl designatvs itervm senatvs consvlto
CAES AVG F DESIG IMP AVG F COS DESIG ITER S C,caesar avgvsti filivs designatvs imperator avgvsti filivs consvl designatvs itervm senatvs consvlto
CAES AVG F DOMIT COS II,caesar avgvsti filivs domitianvs consvl Ⅱ
CAES AVG F DOMIT COS III,caesar avgvsti filivs domitianvs consvl Ⅲ
CAES AVG F DOMIT COS IIII,caesar avgvsti filivs domitianvs consvl Ⅳ
CAES AVG F DOMITIAN COS II,caesar avgvsti filivs domitianvs consvl Ⅱ
CAES AVG F DOMITIANVS,caesar avgvsti filivs domitianvs
CAES DIVI AVG VESP F DOMITIAN COS VII,caesar divi avgvsti vespasiani filivs domitianvs consvl Ⅶ
CAES DIVI AVG VESP F DOMITIANVS COS VII,caesar divi avgvsti vespasiani filivs domitianvs consvl Ⅶ
CAES DIVI F DOMITIANVS COS VII,caesar divi filivs domitianvs consvl Ⅶ
CAES DIVI VESP F DOMITIAN COS VII,caesar divi vespasiani filivs domitianvs consvl Ⅶ
CAES DIVI VESP F DOMITIANIANVS COS VII,caesar divi vespasiani filivs domitianvs consvl Ⅶ
CAES DIVI VESP F DOMITIANVS COS VII,caesar divi vespasiani filivs domitianvs consvl Ⅶ
CAESAR AVG F DES IMP AVG F COS DES II S C,caesar avgvsti filivs designatvs imperator avgvsti filivs consvl designatvs Ⅱ senatvs consvlto
CAESAR DIVI AVG F DOMITIANVS COS VII,caesar divi avgvsti filivs domitianvs consvl Ⅶ
CAESAR DIVI AVG VESP F DOMITIAN COS VII,caesar divi avgvsti vespasiani filivs domitianvs consvl Ⅶ
CAESAR DIVI AVG VESP F DOMITIANVS COS VII,caesar divi avgvsti vespasiani filivs domitianvs consvl Ⅶ
CAESAR DIVI F DOMITIANVS COS VII,caesar divi filivs domitianvs consvl Ⅶ
CAESAR DOMIT COS II,caesar domitianvs consvl Ⅱ
CAESAR DOMITIAN COS DES II S C,caesar domitianvs consvl designatvs Ⅱ senatvs consvlto
CAESAR DOMITIAN COS II S C,caesar domitianvs consvl Ⅱ senatvs consvlto
CAESAR DOMITIANVS AVG F,caesar domitianvs avgvsti filivs
CAESAR VESPASIANVS AVG,caesar vespasianvs avgvstvs
