GENIO AVGVSTI S C I,genio avgvsti senatvs consvlto Ⅰ
ADLOCVT COH,adlocvtio cohortivm
ADLOCVT COH S C,adlocvtio cohortivm senatvs consvlto
AGRIPP AVG DIVI CL AVD NERONIS CAES MATER,agrippina avgvsta divi clavdii neronis caesaris mater
AGRIPP AVG DIVI CL AVD NERONIS CAES MATER EX S C,agrippina avgvsta divi clavdii neronis caesaris mater ex senatvs consvlto
AGRIPP AVG DIVI CLAVD NERONIS CAES MATER EX S C,agrippina avgvsta divi clavdii neronis caesaris mater ex senatvs consvlto
AGRIPPINA AVGVSTA MATER AVGVSTI,agrippina avgvsta mater avgvsti
ANNONA AVGVSTI CERES,annona avgvsti ceres
ANNONA AVGVSTI CERES S C,nona avgvsti cere senatvs consvlto
ARA PACIS S C,ara pacis senatvs consvlto
ARMENIAC,armeniacus
AVGVSTI S POR OST C,avgvsti senatvs portvm ostiensem consvlto
AVGVSTVS AVGVSTA,avgvstvs avgvsta
AVGVSTVS GERMANICVS,avgvstvs germanicvs
CER QVINQ RMA CO S S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CER QVINQ ROM CO S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CER QVINQ ROM CO S S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CER QVINQ ROM CON S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CER QVINQ ROMAE CON S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CER QVINQ ROMAE CONS S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CERT QVINQ ROM CO S S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CERT QVINQ ROM CON S S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CERTA QVINQ ROM CO S S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CERTA QVINQ ROM CON S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CERTA QVINQ ROM CON S S C,certamen qvinqvenalle romae constitvtvm senatvs consvlto
CERTAM QVINQ ROM CO,certamen qvinqvenalle romae constitvtvm
CERTAMEN QVINQ ROM CO,certamen qvinqvenalle romae constitvtvm
CONG I DAT POP S C,congiarivm Ⅰ datvm popvlo
CONG II DAT POP,congiarivm Ⅱ datvm popvlo
CONG II DAT POP R,congiarivm Ⅱ datvm popvlo romano
CONG II DAT POP S C,congiarivm Ⅱ datvm popvlo senatvs consvlto
DECVRSIO,decvrsio
DIVOS CLAVD AVGVST GERMANIC PATER AVG,divvs clavdivs avgvstvs germanicvs pater avgvsti
DIVVS CLAVDIVS AVGVSTVS,divvs clavdivs avgvstvs
EX S C,ex senatvs consvlto
GENIO AVGVSTI,genio avgvsti
GENIO AVGVSTI S C,genio avgvsti senatvs consvlto
GER P M TR P IMP P P S C,germanicvs pontifex maximvs tribvnicia potestate imperator pater patriae senatvs consvlto
GER PON MAX TR P IMP P P,germanicvs pontifex maximvs tribvnicia potestate imperator pater patriae
IANVM CLVSIT PACE P R TERRA MARIQ PARTA,ianvm clvsit pace populi romani terra mari+qve parta
IMP NERO CAESAR AVG P MAX TR P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IVPPITER CVSTOS,ivuppiter cvstos
MAC AVG,macellvm avgvsti
MAC AVG S C,macellvm avgvsti
MAC AVG S C II,macellvm avgvsti Ⅱ
MAX TRIB POT P P S C,maximvs tribvnicia potestate pater patriae senatvs consvlto
NERO CALV CAESAR AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CL DIVI F CAES AVG P M TR P II,nero clavdivs divi filivs caesar avgvstvs pontifex maximvs tribvnicia potestate Ⅱ
NERO CLAVD DIVI CLAVD F CAESAR AVG GERM,nero clavdivs divi clavdii filivs caesar avgvstvs germanicvs
NERO CLAVD DIVI CLAVD F CAESAR AVG GERMA,nero clavdivs divi clavdii filivs caesar avgvstvs germanicvs
NERO CLAVD DIVI CLAVD F CAESAR AVG GERMANI,nero clavdivs divi clavdii filivs caesar avgvstvs germanicvs
NERO CLAVD DIVI F CAES AVG GERM IMP TR P COS,nero clavdivs divi filivs caesar avgvstvs germanicvs imperator tribvnicia potestate consvl
NERONI CLAVD DIVI F CAES AVG GERM IMP TR P,neroni clavdio divi filio caesari avgvsto germanico imperatori tribvnicia potestate
P M TR P P P S S C,pontifex maximvs tribvnicia potestate pater patriae semis senatvs consvlto
PACE P R TERRA MARIQ PARTA IANVM CLVSIT S C,pace popvlo romani terra mari+qve parta ianvm clvsit senatvs consvlto
PACE P R VBIQ PARTA IANVM CLVSIT S C,pace popvli romani vbiqve parta ianvm clvsit senatvs consvlto
PONTIF MAX TR POT IMP P P  S C,pontifex maximvs tribvnicia potestate imperator pater patriae senatvs consvlto
PONTIF MAX TR POT IMP P P  S C I,pontifex maximvs tribvnicia potestate pater patriae senatvs consvlto Ⅰ
PORT AVG S C,portvm avgvsti senatvs consvlto
TR POT P P S S C,tribvnicia potestate pater patriae semis senatvs consvlto
