VICTORIAE DD AVGGQ NN,victoriae dominorum avgvstorvmque nostrorvm
IMP C PROBVS P F AVG,imperator caesar probvs pivs felix avgvstvs
IMP C M Q TRAIANVS DECIVS AVG,imperator gaivs messivs qvintvs traianvs decivs avgvstvs
IMP CAES M AVR ANTONINVS PIVS AVG,imperator caesar marcvs avrelivs antoninvs pivs avgvstvs
D N VALENTINIANVS IVN P F AVG,dominvs noster valentinianvs ivnior pivs felix avgvstvs
IMP C C VAL DIOCLETIANVS P F AVG,imperator caesar gaivs valerivs diocletianvs pivs felix avgvstvs
IMP C CONSTANTINVS P F AVG,imperator caesar constantinvs pivs felix avgvstvs
L VERVS AVG ARM PARTH MAX,lvcivs vervs avgvstvs armeniacvs parthicus maximvs
IMP CAE C VIB VOLVSIANO AVG,imperatori caesari gaio vibio volvsiano avgvsto
IMP SEV ALEXAND AVG,imperator severvs alexander avgvstvs
IMP  CAES M OPEL SEV MACRINVS AVG,imperator caesar marcvs opellivs severvs macrinvs avgvstvs
IMP C MAXIMIANVS P F AVG,imperator caesar maximianvs pivs felix avgvstvs
NERO CLAVD CAESAR AVG GER P M TR P IMP P P,nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate imperator pater patriae
FL IVL CONSTAN_TIVS PERP AVG,flavivs ivlivs constantinvs perpetvvs avgvstvs
IMP GALLIENVS P F AVG,imperator gallienvs pivs felix avgvstvs
IMP CAES L AVREL VERVS AVG,imperator caesar lvcivs avrelivs vervs avgvstvs
L SEPT SEV PERT AVG IMP VIII,lvcivs septimivs severvs pertinax avgvstvs Ⅷ
VICTORIAE LAETAE PRINC PERP,victoriae laetae principis perpetvi
