ANTONINVS AVG PIVS P P,antoninvs avgvstvs pivs pater patriae
ANTONINVS AVG PIVS P P TR P COS III,antoninvs avgvstvs pivs pater patriae tribvnicia potestate consvl Ⅲ
AVRELIVS CAESAR AVG PII F,avrelivs caesar avgvstvs pii filivs
ANTONINVS AVG PIVS P P IMP II,antoninvs avgvstvs pivs pater patriae imperator Ⅱ
FAVSTINAE AVG PII AVG FIL,favstinae avgvstae pii avgvsti filiae
DIVA AVGVSTA FAVSTINA,diva avgvsta favstina
AETERNITAS S C,aeternitas senatvs consvlto
AVRELIVS CAESAR AVG PII FIL,avrelivs caesar avgvstvs pii filivs
ANTONINVS AVG PIVS P P TR P XXII,antoninvs avgvstvs pivs pater patriae tribvnicia potestate consvl ⅩⅩⅡ
